------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
DTU 10MW RWT aerodynamic blade input properties; note that the aerodynamic center coordinates are required
======  Blade Properties =================================================================
         36   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC          BlSwpAC            BlCrvAng          BlTwist        BlChord          BlAFID
   (m)           (m)             (m)                 (deg)           (deg)           (m)              (-)
0.0000         0.0000	        0.0000 		     0.0000         14.5000   	   5.380000	       1
4.8000         0.0000	        0.0000 		     0.0000         14.491060      5.380000            1
7.5120         0.0000	        0.0000 		     0.0000         14.424209      5.422947            1
9.1190         0.0000	        0.0000 		     0.0000         14.260414      5.503171            1
10.275         0.0000	        0.0000 		     0.0000         14.043888      5.577011            2
11.658         0.0000	        0.0000 		     0.0000         13.581343      5.678866            2
13.258         0.0000	        0.0000 		     0.0000         12.908756      5.802144            2
15.068         0.0000	        0.0000 		     0.0000         11.908994      5.937015            2
17.075         0.0000	        0.0000 		     0.0000         10.680366      6.063689            3
19.267         0.0000	        0.0000 		     0.0000          9.479599      6.157123            3
21.633         0.0000	        0.0000 		     0.0000          8.385097      6.201273            4
24.156         0.0000	        0.0000 		     0.0000          7.606940      6.191868            4
26.823         0.0000	        0.0000 		     0.0000          6.957972      6.128953            4
29.617         0.0000	        0.0000 		     0.0000          6.369216      6.013883            5
32.521         0.0000	        0.0000 		     0.0000          5.809149      5.854190            5
35.519         0.0000	        0.0000 		     0.0000          5.254826      5.657992            5
38.591         0.0000	        0.0000 		     0.0000          4.691180      5.434810            5
41.720         0.0000	        0.0000 		     0.0000          4.087893      5.190131            6
44.886         0.0000	        0.0000 		     0.0000          3.445390      4.929373            6
48.072         0.0000	        0.0000 		     0.0000          2.790276      4.658367            6
51.257         0.0000	        0.0000 		     0.0000          2.125135      4.658367            6
54.423         0.0000	        0.0000 		     0.0000          1.481714      4.110851            6
57.550         0.0000	        0.0000 		     0.0000          0.868340      3.844928            6
60.620         0.0000	        0.0000 		     0.0000          0.294717      3.588651            6
63.615         0.0000	        0.0000 		     0.0000         -0.221191      3.344616            6
66.516         0.0000	        0.0000 		     0.0000         -0.704843      3.115337            6
69.306         0.0000	        0.0000 		     0.0000         -1.120529      2.902838            6
71.968         0.0000	        0.0000 		     0.0000         -1.517145      2.707497            6
74.487         0.0000	        0.0000 		     0.0000         -1.876009      2.529161            6
76.847         0.0000	        0.0000 		     0.0000         -2.210462      2.364962            6
79.034         0.0000	        0.0000 		     0.0000         -2.520387      2.200110            6
81.034         0.0000	        0.0000 		     0.0000         -2.797971      2.018238            6
82.837         0.0000	        0.0000 		     0.0000         -3.032812      1.811887            6
84.431         0.0000	        0.0000 		     0.0000         -3.220965      1.536297            6
85.806         0.0000	        0.0000 		     0.0000         -3.369622      1.138400            6
86.399         0.0000	        0.0000 		     0.0000         -3.427960      1.138400            6
! A.F.: Aerodyn15 requires that BlSpn starts from 0.0 m. A fictious blade section has been added
